logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
1.688,0.0,0.0,00000,01101,01101,01101,01101,01101,01101,01011,01101,10001,00111,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.586,2.454,1.488,00000,01101,10010,01101,00110,01101,00110,01101,01101,00110,01011,00001,10000,01101,10100,00101,01001,01011,01101,00111,01101,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000
3.142,2.356,2.314,00000,01010,01101,00110,01101,00110,01101,10000,01101,00110,01011,00100,01101,10100,00101,01001,01011,01101,01101,10001,00110,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000
0.0,0.687,1.387,00000,01101,10001,10001,00110,01011,00101,10110,01011,01101,10001,00100,01101,01000,01000,10110,01101,10100,00101,00111,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
3.142,1.571,1.462,00000,01101,01101,01101,00110,01101,00110,01011,01101,01110,10001,00110,10001,00110,10100,00001,10110,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.06,1.963,1.099,00000,01101,10010,01101,00110,01101,00110,01011,00100,01101,00110,10100,00100,01101,01101,01101,01011,01101,10001,01101,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000,11000
2.214,0.785,0.457,00000,01101,10001,01101,01101,01101,01101,01101,01011,10101,01101,10100,01011,01101,10100,00001,01101,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.192,2.749,1.37,00000,01101,01101,00110,01101,01011,00001,01101,01101,01011,01101,01101,10001,00110,01101,00110,10100,00010,10010,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000,11000
2.9,2.356,2.348,00000,01010,01101,00110,01101,00110,10000,01101,00110,01011,00001,01101,10100,01011,00110,10100,00101,01101,01101,10001,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000
2.784,1.276,0.931,00000,01101,10001,01101,01011,01101,01101,01101,01101,01101,01101,01011,10101,01101,10100,01011,01101,10100,01100,01011,01101,01101,01101,10111,11000,11000,11000,11000,11000,11000,11000
2.192,2.749,1.37,00000,01101,01101,00110,01011,00001,01101,01101,01011,01101,01101,10001,01101,00110,01101,00110,10100,00010,10010,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000,11000
2.9,2.356,2.348,00000,01010,01101,00110,01101,00110,01101,01101,00110,01011,00001,10000,01101,10100,00101,01001,01011,01101,10001,01101,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000
2.316,2.356,1.251,00000,01101,00110,01101,00110,10010,01101,01011,01100,01101,00111,01101,01101,10001,10100,01011,00110,01101,10100,00010,00110,10100,00110,10111,11000,11000,11000,11000,11000,11000,11000
2.448,3.142,1.607,00000,01101,01101,01101,01011,10011,01101,01101,00110,01101,00110,01101,00100,10101,00110,10100,00100,10010,01101,10010,10100,00100,10001,01101,10111,11000,11000,11000,11000,11000,11000
3.142,2.356,2.314,00000,01010,01101,00110,01101,00110,01101,00110,01011,01100,10000,01101,10100,01011,00110,10100,00101,01101,00111,01101,01101,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000
1.037,0.295,0.472,00000,10010,01101,00111,10010,01101,00110,10100,01011,01101,10001,01101,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
1.914,1.865,1.572,00000,10010,00110,10001,01101,00110,01101,00110,01101,00110,10100,00100,01101,10100,00101,10010,01101,01101,01101,10010,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000
2.294,2.553,1.522,00000,01101,10010,01101,00110,01101,00110,01101,00100,10101,00110,10100,00100,01101,00110,10001,10100,00100,01101,01101,10001,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000
2.345,2.356,1.522,00000,01101,10010,01101,00110,01101,00110,01101,01101,00110,01011,00001,10000,01101,10100,00101,01001,01011,01101,10001,01101,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000
2.338,1.178,1.015,00000,01101,00110,01101,00110,01101,00110,01011,01100,10000,01101,10100,01011,00110,10100,00101,01101,01101,10001,01101,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000,11000
2.448,2.258,1.15,00000,01101,01101,01101,00110,01101,00110,01011,01101,10010,10001,00110,10001,00110,10100,00001,10110,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.9,2.356,2.348,00000,01010,01101,00110,01101,00110,01101,00110,01011,01100,10000,01101,10100,01011,00110,10100,00101,01101,10001,01101,01101,10100,00101,10111,11000,11000,11000,11000,11000,11000,11000
2.608,3.043,2.516,00000,01101,01101,01011,01101,10001,01101,01101,00110,01101,00110,01011,01101,01111,01101,00110,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
3.142,2.356,2.314,00000,01010,01101,00110,01101,00110,01101,01101,00110,01011,00001,10000,01101,10100,00101,01001,01011,01101,00111,01101,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000
1.074,0.295,0.49,00000,01101,10010,01101,00100,01101,01000,01101,00110,01101,01101,10001,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.513,2.847,1.698,00000,10001,01101,00100,01101,01000,01101,00110,01101,00110,01011,01101,01110,01101,00111,01101,00110,10100,00001,10110,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000
1.79,1.865,1.183,00000,01101,01101,10001,01101,01101,01101,10010,10001,00110,01011,10100,10010,01101,01101,01001,00001,01101,10100,10010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
3.003,1.473,1.454,00000,01101,10010,01101,00110,01101,00110,01101,00100,10101,00110,10100,00100,10000,01101,00110,10001,00110,01101,00110,10100,00100,10100,00010,10111,11000,11000,11000,11000,11000,11000
0.957,0.785,1.014,00000,10001,01101,00110,01101,00110,01101,01011,00101,10110,01011,01101,10001,00100,01101,01000,01000,00110,10100,00010,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.287,2.16,1.647,00000,01110,01101,00111,01101,00110,01011,10001,01101,01101,01101,01101,01101,01101,10100,00100,10001,10100,01011,01101,00111,10100,00111,10111,11000,11000,11000,11000,11000,11000,11000
1.322,0.098,0.727,00000,01101,10010,01101,00100,01101,01000,01101,00110,01101,01101,10001,01011,01101,01101,01101,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
1.848,1.473,1.031,00000,01101,00110,01101,00110,01101,00100,10101,00110,10100,00100,10001,00110,10001,10100,00100,01101,01101,10001,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000
1.629,1.571,1.335,00000,10010,00110,10001,01101,00110,01101,00110,01101,00110,10100,00100,01101,10100,00101,10010,01101,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.44,1.374,1.065,00000,01101,01101,00110,01101,01011,01101,10010,00111,01101,00110,01101,01011,01101,10010,00110,01101,00110,10100,10001,10100,00001,10111,11000,11000,11000,11000,11000,11000,11000,11000
1.805,0.0,0.0,00000,01101,10001,01101,01101,01101,01101,01101,10100,00100,00111,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.104,2.258,1.917,00000,10010,00110,10001,01101,00110,01101,00110,01011,01101,01110,01101,00110,10100,00001,01101,10100,00010,10010,01101,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000
3.112,2.16,1.388,00000,10001,01101,00111,01101,01011,00010,01101,01101,01101,01101,01101,01101,01101,10100,00100,01101,01101,01101,10100,00111,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.185,2.749,2.668,00000,10010,00110,10001,01101,00110,01101,00110,01011,01101,01010,01101,00110,10100,00001,01101,10100,00010,10010,01101,01101,10010,10100,01011,10111,11000,11000,11000,11000,11000,11000
1.863,0.196,0.237,00000,01101,01101,01101,01101,01011,01101,10001,00111,01101,01011,01101,01101,01101,10100,01100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
1.666,1.963,1.149,00000,01101,00110,01101,10010,01101,00111,10010,01101,00110,10100,01011,01101,10001,01101,01101,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.17,1.473,0.389,00000,01101,01101,01011,01101,10001,01101,01101,00110,01101,00110,01101,00110,10100,00100,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.521,2.258,1.765,00000,10001,00011,01101,00110,01101,01011,00101,01101,00110,01101,00111,01101,00110,10100,00100,00111,10001,00110,10100,10001,01110,10111,11000,11000,11000,11000,11000,11000,11000,11000
2.725,2.16,1.631,00000,01110,01101,00110,01101,00110,01011,10001,01101,01101,01101,01101,01101,01101,10100,00100,10001,10100,01011,01101,00111,10100,00111,10111,11000,11000,11000,11000,11000,11000,11000
1.037,1.963,1.504,00000,10001,10110,00100,01101,01000,00100,01101,01000,01101,00110,01101,00110,01011,00100,01101,00100,01101,01000,10010,01101,00110,10100,00101,10111,11000,11000,11000,11000,11000,11000
1.103,1.374,1.116,00000,10010,00110,10001,01101,01101,10001,01011,00101,01101,00110,01101,00110,10001,00110,10100,00100,10001,10100,10001,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
2.784,1.276,0.931,00000,01101,10001,01101,01101,01101,01101,01101,01101,10100,00100,01011,01101,01101,01101,10100,00100,01011,01101,01101,01101,10111,11000,11000,11000,11000,11000,11000,11000,11000,11000
