logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30
1.727,0.972,1.239,00000,10000,10110,10000,10000,10000,10000,11010,01110,10000,00111,10000,00111,10110,00111,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.556,1.122,1.044,00000,10000,00111,10110,00111,10000,01110,01111,10000,10000,10000,10000,10110,11010,01110,00111,11010,10111,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
0.398,0.748,2.226,00000,10000,10000,01110,10000,10000,10000,01110,00101,10000,00101,10000,01001,10111,10110,10000,00101,10000,01001,10000,10000,11010,01110,11100,11010,10110,00101,10000,01001,01001,11101
1.782,1.72,1.489,00000,10000,10000,10000,00111,10000,00111,01110,10000,10111,10110,00111,10110,00111,11010,00001,11100,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.833,1.197,1.197,00000,10000,00111,01110,00110,10000,00111,10000,00111,10000,00111,11010,00101,10000,10000,10110,10000,11010,10110,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.261,1.197,1.745,00000,10000,10000,10000,00111,10000,00111,01110,10000,10001,10110,00111,10110,00111,11010,00001,11100,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
1.828,2.169,1.94,00000,10110,10000,00101,10000,01001,10000,00111,10000,00111,01110,10000,10001,10000,01000,10000,00111,11010,00001,11100,11010,00010,11101,11110,11110,11110,11110,11110,11110,11110,11110
2.094,1.795,2.475,00000,01101,10000,00111,10000,00111,10000,10000,00111,01110,00001,10101,10000,11010,00110,01011,01110,10000,10110,10000,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110
2.261,1.795,2.447,00000,01101,10000,00111,10000,00111,10000,10000,00111,01110,00001,10101,10000,11010,00110,01011,01110,10000,01000,10000,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110,11110
1.878,1.87,1.767,00000,10000,10111,10000,00111,10000,00111,10101,10000,00111,01110,00001,10000,11010,01110,00111,11010,00110,10000,10000,10110,00111,11010,01111,11101,11110,11110,11110,11110,11110,11110
1.878,1.87,1.767,00000,10000,10111,10000,00111,10000,00111,10000,10101,10000,00111,01110,00101,10000,11010,00110,01011,01110,10000,10000,10110,00111,11010,00001,11101,11110,11110,11110,11110,11110,11110
1.712,1.795,1.795,00000,10000,10111,10000,00111,10000,00111,10000,10101,10000,00111,01110,00101,10000,11010,00110,01011,01110,10000,10000,10110,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110
1.712,1.795,1.795,00000,10000,10111,10000,00111,10000,00111,10000,00111,01110,01111,10101,10000,11010,01110,00111,11010,00110,10000,10110,10000,10000,11010,00110,11101,11110,11110,11110,11110,11110,11110
1.712,1.795,1.795,00000,10000,10111,10000,00111,10000,00111,10000,10000,00111,01110,00001,10101,10000,11010,00110,01011,01110,10000,10110,10000,10000,11010,01111,11101,11110,11110,11110,11110,11110,11110
1.873,0.972,1.35,00000,10000,01000,10000,10000,10000,00111,11010,00101,10101,10000,00111,10000,00111,10000,00111,11010,00110,11010,00101,11101,11110,11110,11110,11110,11110,11110,11110,11110,11110,11110
2.094,1.795,2.475,00000,01101,10000,00111,10000,00111,10000,10101,10000,00111,01110,00101,10000,11010,00110,01011,01110,10000,10000,10110,10000,11010,00001,11101,11110,11110,11110,11110,11110,11110,11110
