logP,qed,mw,token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33
2.513,0.15,1.934,00000,11000,00111,10001,00111,10001,00111,10001,00111,11011,00101,11101,10001,00111,10001,00111,10001,00111,11011,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.651,1.346,1.795,00000,11000,00111,01111,10001,11000,10001,10001,10001,10001,10001,11011,01111,10001,00101,10001,01001,10001,10001,11101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.957,1.272,2.675,00000,10001,10111,10001,10001,11000,10001,00111,10111,00111,01111,10001,10010,10001,01111,10001,01110,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.817,0.449,1.558,00000,11000,10001,10110,10001,01000,10001,01000,10001,00111,10001,00111,10001,00111,11011,00101,10001,01100,01000,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.953,1.122,1.448,00000,10001,00111,11000,10001,01111,01000,10001,10001,10111,10001,10001,10001,11011,00101,10001,10001,11011,00101,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.643,0.224,0.862,00000,11000,10001,00111,10001,00111,10001,00101,11100,00111,11011,00101,10001,10001,10111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.792,1.646,1.294,00000,10001,10001,01111,10001,11000,10001,10001,10001,00111,10001,00111,01111,10001,11000,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.702,0.898,0.835,00000,10111,10001,10001,10001,11011,11011,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.855,1.646,1.712,00000,11000,00111,01111,10001,11000,10001,01111,11011,10001,11101,10001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.359,0.374,1.015,00000,11000,00111,10001,00111,10111,00111,10001,00111,10001,00111,10111,11011,00010,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.913,0.224,0.904,00000,10001,00011,10001,11000,10001,10001,10111,00111,10111,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.779,2.02,1.628,00000,10001,11000,10001,00111,10001,00111,10110,10001,00111,01111,11100,10001,10001,10111,10001,11011,10000,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.477,1.496,1.114,00000,10001,10001,01111,10001,10001,10111,10001,01000,10001,01111,11100,10001,10001,10111,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.804,1.571,1.476,00000,10001,10001,01111,10001,10001,10001,10001,00111,10111,00111,10001,01111,00101,10111,01111,10001,10001,10001,01000,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.838,0.524,0.988,00000,10111,10001,00111,10001,00111,10001,00111,10001,00111,10111,00111,11011,00010,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.027,1.047,2.254,00000,10001,10001,01111,10001,10001,10001,10001,10001,00101,10001,01001,10111,01111,00010,11000,11101,01111,10001,10001,00101,10001,01001,01001,10001,11011,11000,01001,11110,11111,11111,11111,11111,11111
1.545,0.449,1.057,00000,10001,10111,10001,00101,10001,01001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.966,2.244,1.684,00000,10001,10001,10001,11000,10001,00111,10001,00111,01111,00101,10001,00111,11011,00101,11000,10001,10001,11000,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.579,2.244,1.92,00000,10001,11000,10001,00111,10001,01111,11100,10001,10001,10111,00111,10001,01111,11011,11000,10001,00111,11011,11000,11000,10001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.893,0.299,0.599,00000,10001,10001,10001,10001,10001,10001,10001,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.698,1.795,1.627,00000,11000,00111,01111,10001,11000,10001,00111,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,11000,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.118,1.272,1.6,00000,10001,10001,10001,10001,10001,00101,10001,01001,10001,00111,10001,00111,10001,00111,11011,00101,10001,11011,00010,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.14,0.823,1.725,00000,10001,00101,11000,01000,10111,10001,00111,10001,00111,10001,00111,11011,00101,10001,00111,10001,00111,10001,01000,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.626,1.72,1.865,00000,11000,10001,00111,10001,00111,01111,00010,10001,10111,10001,00111,10111,00111,11011,01111,11101,10001,01000,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.855,1.496,1.879,00000,11000,00111,01111,00010,10111,10111,10001,10001,00111,10001,10001,11011,00101,10001,10001,10001,10001,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.029,2.02,2.134,00000,11000,00111,10001,01111,10001,11000,00111,01111,10001,11000,11000,10001,11011,00001,10001,00111,10001,00111,01111,10001,10010,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111
1.206,0.823,1.781,00000,10001,10001,11000,10001,00101,10001,01001,10001,10001,10111,01111,00101,10001,01111,10001,10001,01001,10001,01111,10001,10001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.851,0.972,1.239,00000,10001,10001,00111,10001,01111,10001,10111,01000,10001,00111,11011,00001,10001,10001,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.38,1.197,1.614,00000,10111,10001,01000,10001,01000,10001,00111,11011,00101,10111,00111,10111,11011,01111,10001,10001,10001,10001,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.868,1.795,2.213,00000,10001,11000,10001,00111,10001,00111,01111,11000,10001,11101,11101,01111,10001,10001,00101,10001,01001,01001,10001,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.983,0.075,0.571,00000,10001,10001,10001,10001,10001,10001,01111,10001,10001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.796,0.524,1.837,00000,10001,10001,01111,10001,10001,10001,00101,10000,01000,10111,10001,01111,10001,10111,01001,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.38,1.122,1.669,00000,10111,10001,10001,10001,11010,00101,10001,01001,01111,10001,11000,10001,10001,10001,10001,11000,11011,01111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.301,2.394,2.739,00000,10001,10001,10001,00101,10001,01001,10111,10001,10001,10001,10001,00111,10001,00111,10001,01111,10001,01110,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.263,1.87,1.642,00000,10001,10001,11101,10001,01111,00110,10001,00111,10001,00111,10001,00111,11011,00101,01000,10001,01100,11000,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
0.679,0.075,0.973,00000,10001,11000,10001,10001,00101,10001,01001,10111,10001,11011,01111,10001,01111,10001,10001,01001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.541,2.094,1.669,00000,10001,10001,00101,10001,01001,10111,01111,00001,10001,10001,00101,10001,01001,11000,10001,00111,10001,00111,10001,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.63,0.524,1.578,00000,10001,10111,10001,10001,11000,10001,00111,10001,00111,01111,10001,10010,10111,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.906,1.122,1.071,00000,10001,10001,10001,00101,10001,01001,10001,00111,10001,00111,01111,10001,11000,10001,00111,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.758,1.047,1.823,00000,10001,10001,10001,10001,10001,10111,10001,11011,00101,01000,10001,00111,01111,01111,10001,11011,00101,01001,10001,10001,10001,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.214,1.047,1.712,00000,10111,10001,00101,10001,01001,10001,10111,00111,10111,10001,01100,01111,10111,00111,01111,10001,11101,10001,10001,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.165,2.244,1.838,00000,10001,10001,10111,10001,10001,10001,10001,01111,10111,10001,00111,10001,00111,10001,01111,10001,11000,00111,11011,00001,10001,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.76,1.346,1.852,00000,10001,10001,01111,10001,10001,01111,10001,10001,10001,00111,10001,00111,10001,01111,00110,10001,01111,10001,10001,01111,10001,10001,10001,00111,11011,00010,11000,11110,11111,11111,11111,11111,11111
1.843,0.449,1.684,00000,10001,10001,00111,10001,00111,01111,00111,10001,01111,10001,10001,10111,01111,10001,11000,10001,01111,10001,10111,01001,10001,00111,11011,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111
1.838,1.945,1.795,00000,10001,00111,10001,10111,10001,01111,10001,10001,00111,01111,10001,10001,10001,00111,01111,10001,10111,10111,00111,10111,00111,11011,00001,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111
1.426,0.524,1.976,00000,10001,10001,01111,10001,10001,00111,10001,10001,01111,11000,10001,10001,01111,10001,10111,10001,00101,10001,01001,11000,10001,00101,10001,01001,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.184,0.299,1.46,00000,11000,10001,00111,10001,00111,01111,10000,10001,10111,01000,10110,10111,01100,01111,10001,00111,11011,11000,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.601,0.823,2.157,00000,10001,10001,11000,10001,00101,10001,01001,10001,00101,10001,01001,10111,10001,01000,10001,01111,10001,10001,00111,01111,10001,10001,11101,11011,00001,11110,11111,11111,11111,11111,11111,11111,11111
0.692,1.421,2.184,00000,11000,00111,10001,00111,10111,01111,10111,10001,10001,11101,10001,01111,11011,10001,11000,11000,11011,00001,10001,00101,10001,01001,10110,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
2.14,0.823,1.725,00000,10001,00101,11000,01000,10111,10001,00111,10001,00111,10001,00111,11011,00101,10001,00111,10001,00111,10111,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.263,1.197,2.669,00000,10001,10001,01000,10110,10001,00111,01111,10001,01110,10001,10110,10111,00111,01111,10001,10001,10001,01100,00101,10001,00111,11011,00111,11011,11000,11110,11111,11111,11111,11111,11111,11111,11111
1.987,1.945,1.851,00000,10001,11000,10001,00111,10001,00111,01111,00110,10111,10001,00111,10111,00111,11011,01111,11101,10001,00111,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.855,1.272,1.731,00000,10111,10001,10001,10001,10001,00111,01111,11000,10001,00111,10001,01111,10001,11000,00111,11011,00001,10010,10001,11011,10111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.656,1.346,1.865,00000,10001,11000,10001,00111,10001,00111,10001,00101,11100,00111,11011,00101,10001,10001,10001,10001,01111,10001,10111,10001,11011,00110,11000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.804,1.272,1.587,00000,10001,10111,10001,01111,11011,10001,00100,10001,10001,10001,11011,00001,10001,00111,10001,00111,10111,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.715,0.075,1.572,00000,10111,00011,10001,01111,11011,10001,00100,00111,10001,00111,10001,00111,01111,10001,11000,10001,01111,10001,11000,00111,11011,10000,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.278,1.571,1.698,00000,10001,10001,01111,10001,10001,10111,10001,10001,00101,10001,01001,10111,10001,10001,10001,10001,11011,01111,10001,00100,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.326,0.449,1.684,00000,10111,10001,00111,10001,00111,10001,00111,10001,11011,00101,01000,10001,00111,10001,00111,10001,00111,11011,00111,11011,00101,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.494,0.224,1.85,00000,11000,00111,10111,10001,00101,10001,01001,10001,00101,01000,00111,10001,00111,10001,00111,01111,10001,10011,10001,00111,11011,00001,10111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111
1.966,2.094,2.046,00000,11000,10001,00111,10001,00111,01111,11000,10001,10001,10111,10001,00111,10111,00111,11011,01111,11101,10001,00111,11011,00111,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
2.522,0.823,2.046,00000,10001,10001,00111,11101,10001,01000,10001,01111,10000,10001,10001,00111,11101,10001,01100,01111,00111,10111,11011,01000,11011,00010,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
1.091,1.346,1.67,00000,10111,10001,10111,00111,10111,01111,00011,10001,10001,10001,10001,10111,01111,01111,10001,10001,11011,00001,10001,11011,10000,10111,01100,01000,11110,11111,11111,11111,11111,11111,11111,11111,11111
1.91,0.898,1.197,00000,10111,10001,10001,10001,10001,10001,11011,01111,10001,00111,10001,00111,10001,00111,11011,00101,11011,00110,11110,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111,11111
