Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][C][=N][Branch1][C][Cl][I][=C][C][Ring2][#Branch2][=Branch1][PH1][=Ring1][=C][C][C][C][=C][Ring1][=Branch1][C][C][=N][N][=O][O][C][=C][Ring1][=Branch1],CC=NCCl,1.27,0.26,91.02,Valid
2,[C][C][C][=C][C][Ring1][Branch1][C][=N][Branch2][Branch1][C][=C][C][C][C][Ring1][=Branch1][Ring2][#Branch2][S][PH1][Branch1][C][C][C][Ring1][=Branch1],C12CC=CC1C=NC=CC3CC2[PH1](C)C3,3.01,0.44,220.13,Valid
3,[C][C][F][C][C][=C][C][=C][C][=C][C][=C][Branch1][C][C][O],CCF,0.98,0.38,48.04,Valid
4,[C][C][I][Branch1][C][=C][Branch1][C][=C][Ring1][=Branch1],CCI,1.44,0.37,155.94,Valid
5,[C][C][Ring1][=Branch1][Ring1][O][C][C][C][C][C][=N][C][C][=C][C][=C][C][O][C][=C][Ring1][=Branch1][C][N][C][C][=O][#Branch2],C#CCCCCC=NCC=CC1=CCOC=C1CNCC=O,2.44,0.28,300.18,Valid
6,[C][C][Branch1][C][=C][C][C][Branch1][C][C][C][Ring1][#Branch2][N][C][C][C][C][=N][C][=N][C][=N][O][C][C][=C][Ring1][=C][I][=C],C1C(C)CC(C)C1N2CCCC=NC=NC=NOCC=C2I,3.85,0.48,416.11,Valid
7,[C][C][C][C][C][C][=C][C][N][C][C][=C][C][=N][O][Ring1][Branch1][C][=C][Ring1][=Branch1],CCCCCC=CCNCC1=CC=NO1,2.9,0.53,208.16,Valid
8,[C][C][=C][C][=C][C][C][=C][C][C][=C][Ring1][=Branch1],CC=CC=CC1C=CCC=C1,3.25,0.41,146.11,Valid
9,[C][C][=C][=N][Ring1],CC=C=N,0.81,0.4,55.04,Valid
10,[C][C][=C][Branch1][#Branch1][Branch1][C][=C][Branch1][C][C][=C][C][=C][C][Ring1][=Branch1],CC=C(C=C1C)CC=CC1,3.23,0.45,134.11,Valid
11,[C][C][C][N][N][N][C][C][C][C][=C][Ring1][#Branch1][#Branch2],CCCNN1NCCCC=C1,1.02,0.64,155.14,Valid
12,[C][C][C][=O],CCC=O,0.6,0.4,58.04,Valid
13,[C][C][C][=C][C][=C][Branch2][C][=C][Ring1][P][Branch1][C][=N][O][C][=C][C][O][Branch2][Branch1][N][C][N],C1CC=CC=C1CN,1.22,0.54,109.09,Valid
14,[C][Branch2][PH1][Branch2][C][C][C][N][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][=Branch1],C(CCCN1CC=C2)C=C1CC=C2,2.87,0.55,175.14,Valid
