Molecule,SELFIES,SMILES,LogP,QED,MW,Validity
TARGET,TARGET,TARGET,1.2,0.71,205.0,
1,[C][C][=C][Branch1][=N][PH1][NH1][Branch2][C],CC=C[PH1][NH1]C,1.33,0.52,103.06,Valid
2,[NH1][C][C][=Branch1][C][S][PH1][Cl][=O][=O][Branch1][C][=C][Branch1][C][C][Ring1][=Branch1][C][=C][Ring1][PH1][Cl][N][C][I][Ring2][=O],[NH1]CC(S)[PH1]Cl,1.36,0.44,141.96,Valid
3,[C][C][C][C][C][=C][Ring1][=O][C][=C][C][=C][=C][C][C][N][Ring1],CCCCC#CC=CC=C=CCC=N,3.49,0.22,187.14,Valid
4,[C][C][C][C][C][=C][=N][C][=C][Ring1][=S][N][C][=O],CCCCC=C=NC#CNC=O,1.07,0.22,164.09,Valid
5,[=C][C][Ring2][#Branch2][NH1][Ring1][Branch1][C][=C][Ring1][O][C][=C][Ring1][#Branch1][Ring1][=Branch1][C][N][C][=C],C1#CC=C1C=C,1.12,0.41,76.03,Valid
6,[C][C][=C][C][=C][C][=C][C][=O][C][C][Ring1][#Branch1][PH1][N][C][C][C][C][=N][=P][=Branch2][C][C][C][C][=O][C][C][C][=O],CC=CC=CC=CC=O,1.87,0.32,122.07,Valid
7,[C][C][C][C][=N][C][=C][C][N][C][C][=C][C][=O][O][Ring2][O][C][=C][Ring1][Branch2][S][#Branch1][O][C][=C][C][O][C][=C][Ring1],CCCC=NC=CCNCC=CC=O,1.72,0.28,194.14,Valid
8,[C][C][=C][N][=C][C][=O][=Branch1][C][C][=C][Ring1][=Branch1][Ring1][S][=P][PH1][PH1][S][NH1][=C][=P][=Branch1][C][=C][Ring1][#Branch2][#Branch2][Cl][Branch1][C],CC=CN=CC=O,0.79,0.37,97.05,Valid
9,[C][Branch1][=Branch1][#Branch1],C,0.64,0.36,16.03,Valid
10,[=S][=Branch2][Br][=P][#Branch1][Br][C][=Branch2][=Branch2][C][C][=C][C][=C][C][Ring1][=Branch2],S1(C)C=CC=CC1,1.7,0.46,114.05,Valid
11,[C][C][C][N][C][C][C][C][C][C][=O][P][#Branch2][=Branch2][P][F][C][O][C][=C][C][=C][C][=O][C][=C][=O][C][=O][N][=Branch1],CCCNCCCCCC=O,1.75,0.43,157.15,Valid
12,[C][C][Branch1][Branch1][F][#N][Ring1][=Ring1][Branch2][C][C][=C][Ring1][#Branch1],C=C(F)C,1.49,0.4,60.04,Valid
13,[NH1][C][=N][=Branch2][C][=C][C][C][=C][Ring1][S][Branch1][C][=C][N][C][=C][C][PH1][#C][Br][Ring1][Branch1][N][PH1][=Ring1][Cl][Ring2][F][I][F],[NH1]1C=NC=CCC=C1C=CNC=CC[PH1]#CBr,3.01,0.78,311.02,Valid
14,[C][=C][Ring1][N][=N][Cl][Branch1][PH1][=S][C][=Branch1][C][=C][NH1][C][=C][Ring1][=Branch1][C][=C][S],C#CNCl,0.32,0.25,74.99,Valid
15,[PH1][NH1][C][=C][C][=C][C][=C][C][=C][C][=N][O][C][C][=C][C][=C][C][=C][Ring1][O][C][C][C][=C][C][C][Branch1][Cl][Branch1],[PH1][NH1]C=CC=CC=CC=C1C=NOCC=CC=CC=C1CCC=CCC,5.99,0.32,367.19,Valid
16,[C][C][C][C][C][C][C][=N][=C][NH1][S][I][=Ring1][P][Ring2][#Branch2][O][C][C][=C][Ring1][Branch1][C][C][=C][Ring1][Branch2],CCCCCCC=NC[NH1]SI,3.57,0.32,300.02,Valid
17,[C][C][Ring1][Ring2][Branch1][=Branch2][C][=C][C][=O][Branch1][=N][#Branch2][C][C][=C][Ring1][#Branch1][Branch2][C][=C][C][C][C][C][=C][C][=C][Ring1][=Branch1][Br],C=C(C=CC=O)C=CC=CCC1CC=CC=C1Br,4.66,0.4,304.05,Valid
18,[C][Branch1][=Branch2][C][=C][C][C][=C][F][I][Branch2][#Branch1][=C][Ring1][O][C][=C][C][C][Cl][=Ring1][#Branch1][=Ring1][=Ring1][I][N][Branch1][Br][#N][N][C],C(C=CCC=CF)(C=CCCCl)Br,4.36,0.5,265.99,Valid
